dataset,operator,model,dim,fold_count,mean,std,var,fold0,fold1,fold2,fold3,fold4
DD,GCNConv,GraphResGNN,64,5,0.69345,0.04580,0.002098,0.72996,0.73729,0.69362,0.69787,0.60851
DD,GCNConv,JKNetBaseline,64,5,0.72494,0.02021,0.000408,0.71730,0.76271,0.70638,0.71064,0.72766
DD,GCNConv,NodeCrossGNN,64,5,0.72575,0.01944,0.000378,0.74262,0.75424,0.70638,0.71915,0.70638
DD,GCNConv,NodeResGNN,64,5,0.72066,0.02593,0.000672,0.72996,0.76271,0.69787,0.72340,0.68936
DD,GCNConv,PlainGNN,64,5,0.71645,0.01792,0.000321,0.71308,0.74153,0.70213,0.69362,0.73191
DD,GINConv,GINBaseline,64,5,0.68850,0.01666,0.000277,0.65823,0.69915,0.68511,0.70638,0.69362
DD,GINConv,GraphCrossGNN,64,5,0.69184,0.03195,0.001021,0.68776,0.70763,0.63830,0.68936,0.73617
DD,GINConv,GraphResGNN,64,5,0.70373,0.00957,0.000092,0.70464,0.70763,0.69362,0.69362,0.71915
DD,GINConv,NodeCrossGNN,64,5,0.71731,0.00805,0.000065,0.71730,0.72458,0.72340,0.70213,0.71915
DD,GINConv,NodeResGNN,64,5,0.71053,0.03159,0.000998,0.70042,0.72458,0.74894,0.65532,0.72340
DD,GINConv,PlainGNN,64,5,0.69006,0.05435,0.002954,0.73418,0.71186,0.58723,0.68511,0.73191
DD,SAGEConv,GraphCrossGNN,64,5,0.69432,0.03596,0.001293,0.71730,0.73729,0.66809,0.71064,0.63830
DD,SAGEConv,GraphResGNN,64,5,0.66138,0.06152,0.003785,0.58650,0.70339,0.70213,0.72766,0.58723
DD,SAGEConv,GraphSAGEBaseline,64,5,0.70199,0.02839,0.000806,0.72152,0.72458,0.64681,0.71064,0.70638
DD,SAGEConv,NodeCrossGNN,64,5,0.72487,0.02989,0.000893,0.75949,0.76271,0.70638,0.70213,0.69362
DD,SAGEConv,NodeResGNN,64,5,0.71130,0.02153,0.000463,0.74684,0.72458,0.70213,0.68936,0.69362
DD,SAGEConv,PlainGNN,64,5,0.69860,0.01372,0.000188,0.71308,0.71610,0.68085,0.68936,0.69362
DD,TransformerConv,GraphCrossGNN,64,5,0.67225,0.04401,0.001936,0.69620,0.71186,0.58723,0.67660,0.68936
DD,TransformerConv,GraphResGNN,64,5,0.58659,0.00096,0.000001,0.58650,0.58475,0.58723,0.58723,0.58723
DD,TransformerConv,NodeCrossGNN,64,5,0.70455,0.03049,0.000929,0.69620,0.75847,0.66383,0.70213,0.70213
DD,TransformerConv,NodeResGNN,64,5,0.66967,0.04469,0.001997,0.71730,0.69915,0.66809,0.67660,0.58723
DD,TransformerConv,PlainGNN,64,5,0.58659,0.00096,0.000001,0.58650,0.58475,0.58723,0.58723,0.58723
ENZYMES,GATConv,GraphCrossGNN,64,5,0.27000,0.04170,0.001739,0.23333,0.25000,0.29167,0.34167,0.23333
ENZYMES,GATConv,GraphResGNN,64,5,0.28000,0.07427,0.005517,0.16667,0.30000,0.39167,0.30000,0.24167
ENZYMES,GATConv,NodeCrossGNN,64,5,0.29333,0.07442,0.005539,0.20833,0.32500,0.36667,0.36667,0.20000
ENZYMES,GATConv,NodeResGNN,64,5,0.26667,0.06124,0.003750,0.17500,0.24167,0.31667,0.35000,0.25000
ENZYMES,GATConv,PlainGNN,64,5,0.26000,0.05437,0.002956,0.16667,0.28333,0.30000,0.31667,0.23333
ENZYMES,GCNConv,APPNPBaseline,64,5,0.19500,0.02506,0.000628,0.15833,0.19167,0.18333,0.23333,0.20833
ENZYMES,GCNConv,GraphCrossGNN,64,5,0.28000,0.08038,0.006461,0.17500,0.23333,0.30000,0.41667,0.27500
ENZYMES,GCNConv,GraphResGNN,64,5,0.31167,0.07465,0.005572,0.16667,0.35833,0.33333,0.37500,0.32500
ENZYMES,GCNConv,JKNetBaseline,64,5,0.25167,0.04842,0.002344,0.16667,0.23333,0.29167,0.30000,0.26667
ENZYMES,GCNConv,NodeCrossGNN,64,5,0.27833,0.06843,0.004683,0.22500,0.25833,0.30000,0.40000,0.20833
ENZYMES,GCNConv,NodeResGNN,64,5,0.26500,0.06612,0.004372,0.15833,0.26667,0.27500,0.36667,0.25833
ENZYMES,GCNConv,PlainGNN,64,5,0.24500,0.04069,0.001656,0.18333,0.21667,0.28333,0.29167,0.25000
ENZYMES,GINConv,GINBaseline,64,5,0.24667,0.04876,0.002378,0.20833,0.29167,0.22500,0.31667,0.19167
ENZYMES,GINConv,GraphCrossGNN,64,5,0.28667,0.06924,0.004794,0.19167,0.31667,0.35000,0.35833,0.21667
ENZYMES,GINConv,GraphResGNN,64,5,0.30833,0.10646,0.011333,0.15833,0.22500,0.42500,0.42500,0.30833
